postal_code,latitude,longitude,place_name,count
T3H,51.0419,-114.2,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),2
M2N,43.7673,-79.4111,Willowdale South,3
H3N,45.5302,-73.6327,Parc-Extension,1
K1H,45.3876,-75.6593,Ottawa (Alta Vista),2
P7B,48.9475,-89.4063,Thunder Bay North Central,1
S7H,52.1168,-106.6345,Saskatoon East Central,1
V6S,49.2491,-123.2088,Vancouver (Chaldecutt / South University Endowment Lands),2
H4K,45.5171,-73.7363,Cartierville Southwest,1
H2X,45.5115,-73.5683,Plateau Mont-Royal Southeast,2
M6K,43.6383,-79.4301,West Toronto (Brockton / Parkdale Village / Exhibition Place),1
N6E,42.9185,-81.2244,London (South White Oaks / Central Westminster / East Longwoods / West Brockley),1
R3R,49.8546,-97.2874,Winnipeg (Assiniboine South / Betsworth),1
M8V,43.6075,-79.5013,Etobicoke (New Toronto / Mimico South / Humber Bay Shores),2
C1B,46.2179,-63.0795,Stratford,1
N1K,43.526,-80.3051,Guelph West,1
J9J,45.4394,-75.8465,Aylmer North,1
N2K,43.4961,-80.4936,Kitchener North,1
H3X,45.4819,-73.6421,Hampstead,3
T5A,53.5931,-113.4077,Edmonton (West Clareview / East Londonderry),1
T2L,51.1047,-114.1148,Calgary (Brentwood / Collingwood / Nose Hill),2
H4H,45.4459,-73.5815,Verdun South,1
M5S,43.6629,-79.3987,Downtown Toronto (University of Toronto / Harbord),1
R3M,49.8625,-97.1665,Winnipeg (River Heights Central),1
E1G,46.1797,-64.9484,Moncton Northwest,1
T2G,51.0272,-114.0349,Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),2
J4Y,45.4414,-73.4561,Brossard South,1
K1L,45.44,-75.663,Ottawa (Vanier),1
L4B,43.8582,-79.3985,Richmond Hill Southeast,1
M2R,43.7786,-79.445,Willowdale West,4
M1K,43.7298,-79.2639,Scarborough (Kennedy Park / Ionview / East Birchmount Park),1
M5E,43.6456,-79.3754,Downtown Toronto (Berczy Park),1
H4N,45.5263,-73.6649,Saint-Laurent Outer Northeast,1
M9A,43.6662,-79.5282,Etobicoke (Islington Avenue),2
H4G,45.4643,-73.5698,Verdun North,1
T3A,51.1264,-114.1419,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),3
L7L,43.3799,-79.7668,Burlington Northeast,2
M6G,43.6683,-79.4205,Downtown Toronto (Christie),1
M9C,43.6437,-79.5767,Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods),1
L4C,43.8669,-79.4414,Richmond Hill Southwest,3
H3A,45.504,-73.5747,Downtown Montreal North,1
M6B,43.7081,-79.4479,North York (Glencairn),2
V6B,49.2788,-123.1139,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),1
L5M,43.5637,-79.7202,Mississauga (Churchill Meadows / Central Erin Mills / South Streetsville),1
K2M,45.2861,-75.8562,Kanata (Bridlewood),1
H3E,45.4594,-73.5501,L'Île-Des-Soeurs,1
T6J,53.4564,-113.521,Edmonton (Kaskitayo),2
K1R,45.4123,-75.7108,Ottawa (West Downtown area),1
K2G,45.3211,-75.7391,Nepean (Davidson Heights),1
T6H,53.3753,-113.4585,Edmonton (Southgate / North Riverbend),1
J2G,45.4046,-72.7202,Granby Central,1
L4E,43.9394,-79.4349,Richmond Hill North,1
V4N,49.1707,-122.7326,Surrey Northeast,4
T5W,53.5645,-113.4022,Edmonton (Central Beverly),1
L4S,43.8985,-79.4143,Richmond Hill Central,1
M5P,43.6966,-79.412,Central Toronto (Forest Hill North & West),1
V3R,49.1948,-122.8131,Surrey North,1
T6W,53.4179,-113.5785,Edmonton (Heritage Valley),1
L4K,43.8001,-79.4829,Concord,1
B0P,45.0328,-64.6566,Kings County (Kingston),1
H1W,45.5442,-73.5468,Hochelaga,1
J6K,45.3526,-73.7305,Châteauguay South,1
M6A,43.7223,-79.4504,North York (Lawrence Manor / Lawrence Heights),1
L2G,43.0696,-79.0818,Niagara Falls Southeast,1
M9B,43.6505,-79.5517,Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale),1
M2K,43.7797,-79.3813,North York (Bayview Village),1
V2R,49.076,-121.9883,Chilliwack West,1
H4V,45.4671,-73.6487,Côte-Saint-Luc East,1
M4P,43.7135,-79.3887,Central Toronto (Davisville North),1
H1M,45.5883,-73.5572,Mercier West,1
L9K,43.225,-79.9427,Ancaster East,1
H2Z,45.5052,-73.5622,Downtown Montreal Northeast,1
P3Y,46.4431,-81.127,Greater Sudbury (Lively),1
J8Y,45.448,-75.7434,Hull Central,1
H2W,45.5176,-73.5804,Plateau Mont-Royal South Central,1
T6G,53.521,-113.5324,Edmonton (West University / Strathcona Place),1
N9E,42.2652,-83.0314,Windsor South (East Malden),1
J4R,45.4924,-73.5009,Saint-Lambert Central,1
E2K,45.3053,-66.0808,Saint John North,1
V7C,49.1626,-123.1721,Richmond West,1
V6R,49.2666,-123.1976,Vancouver (West Kitsilano / Jericho),1
L6M,43.4464,-79.7593,Oakville West,2
M4G,43.7124,-79.3644,East York (Leaside),1
L4G,44.0001,-79.4663,Aurora,1
T9E,53.2668,-113.552,Leduc,1
V5M,49.26,-123.0398,Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),1
T6X,53.4154,-113.4178,Edmonton (Ellerslie),1
T3J,51.1188,-113.9471,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),1
K2T,45.317,-75.9367,Kanata (Marchwood),2
L6B,43.9007,-79.2175,Markham East,1
T5B,53.7353,-113.3369,Edmonton (East North Central / West Beverly),1
V2Y,49.1285,-122.6236,Langley Township Northwest,1
M1W,43.8016,-79.3216,Scarborough (Steeles West / L'Amoreaux West),1
L5N,43.5924,-79.7611,Mississauga (Lisgar / Meadowvale),1
M5V,43.6404,-79.3995,Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ),1
R3C,50.011,-97.2184,Winnipeg (Broadway / The Forks / Portage and Main) Manitoba Provincial Government,1
M5B,43.6572,-79.3783,Downtown Toronto (Ryerson),1
T6E,53.4914,-113.4802,Edmonton (South Bonnie Doon / East University),1
V3N,49.2275,-122.9301,Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong),1
V3L,49.2201,-122.8998,New Westminster Northeast,1
