id,name,date_end,province,organizer_id,arbiter_id,pairings,rating_type,n_players,n_rounds
199609051,Scarborough Sum RR 3,1996-07-28,ON,0,0,RR,R,8,1
199609052,Scarborough Sum RR 4,1996-07-28,ON,0,0,RR,R,8,1
199609053,Scarborough Sum RR 5,1996-07-28,ON,0,0,RR,R,8,1
199609054,Scarborough Sum RR 6,1996-07-28,ON,0,0,RR,R,8,1
199609055,Brun Blanchette Match,1996-07-29,NB,0,107763,RR,R,2,4
199609056,Blanchette Arsenault,1996-07-30,NB,0,107763,RR,R,2,4
199609057,Demmery Findlay Match,1996-07-30,ON,0,109477,RR,R,2,2
199609058,Red Deer Closed,1996-07-31,AB,0,101750,RR,R,4,2
199609059,Sudbury Late Spring,1996-07-31,ON,0,103373,RR,R,9,1
199609060,Brown Cunningham Match,1996-08-01,ON,0,102882,RR,R,2,1
199609061,ECC Summer,1996-08-01,AB,0,104728,SS,R,19,5
199609062,Scarb Summer Swiss Open,1996-08-01,ON,0,100317,SS,R,38,5
199609063,Scarb Summer Swiss U1800,1996-08-01,ON,0,100317,SS,R,22,5
199609064,Peel Invitational XXX,1996-08-02,ON,0,102882,RR,R,6,2
199609065,NB no name,1996-08-03,NB,0,108718,SS,R,6,5
199609066,Quebec Open,1996-08-03,QC,0,106007,SS,R,48,9
199609067,Maritime O,1996-08-04,NS,0,101735,SS,R,14,5
199609068,Maritime U1600,1996-08-04,NS,0,101735,SS,R,17,5
199609069,Maritime U1800,1996-08-04,NS,0,101735,SS,R,16,5
199609070,Murphy Larmer,1996-08-04,NB,0,102176,RR,R,2,4
199609071,MB Summer Open,1996-08-05,MB,0,103280,SS,R,19,6
199609072,Simcoe Day Open,1996-08-05,ON,0,106693,SS,R,19,5
199609073,Simcoe Day U1700,1996-08-05,ON,0,106693,SS,R,42,5
199609074,Simcoe Day U2100,1996-08-05,ON,0,106693,SS,R,39,5
199609075,Vancouver Booster,1996-08-05,BC,0,100205,SS,R,12,6
199609076,Vancouver Open,1996-08-05,BC,0,100205,SS,R,18,6
199609077,Vancouver Reserve,1996-08-05,BC,0,100205,SS,R,18,6
199609078,Mid Summer Warm Up,1996-08-06,ON,0,108844,RR,R,7,2
199609079,Brazeau Hendon Match,1996-08-11,ON,0,102237,RR,R,2,1
199609080,NBIO Open Section,1996-08-11,ON,103427,100040,SS,R,79,9
199609081,NBIO Under 1600,1996-08-11,ON,110641,103427,SS,R,53,8
199609082,NBIO Under 1800,1996-08-11,ON,110641,103427,SS,R,65,8
199609083,NBIO Under 2000,1996-08-11,ON,110641,103427,SS,R,71,8
199609084,NBIO Under 2200,1996-08-11,ON,110641,103427,SS,R,44,8
199609085,Concordia Garden,1996-08-15,ON,0,110732,SS,R,5,5
199609086,Guignard vs Assaff,1996-08-15,NB,0,0,SS,R,2,2
199609087,BC Grand Prix 1,1996-08-18,BC,0,109876,SS,R,10,4
199609088,SK Mosquito O,1996-08-18,SK,0,104172,SS,R,17,5
199609089,St Martins Open,1996-08-20,ON,0,0,RR,R,5,2
199609090,Grand Prix 2,1996-08-24,BC,0,104911,SS,R,9,4
199609091,Canadian Women Closed,1996-08-25,ON,0,100336,RR,R,10,1
199609092,August Knights Quad A,1996-08-26,NB,0,102718,RR,R,4,1
199609093,August Knights Quad B,1996-08-26,NB,0,102718,RR,R,4,1
199609094,August Knights Swiss,1996-08-26,NB,0,102718,SS,R,10,4
199609095,Renfrew Open,1996-08-26,ON,0,100319,SS,R,37,5
199609096,UBC Tuesday Night August,1996-08-27,BC,100934,100314,SS,R,24,5
199609097,Red Deer Summer Rating,1996-08-28,AB,0,101750,RR,R,7,2
199609098,Canadian Closed,1996-08-29,ON,0,100336,RR,R,16,1
199609099,Edmonton CC Aug,1996-08-29,AB,0,108124,SS,R,13,4
199609100,RA Pickup 3,1996-08-29,ON,0,101613,SS,R,42,6
199609101,Franke vs Ellis,1996-09-01,ON,0,0,SS,R,2,3
199609102,Grand Prix 3,1996-09-01,BC,0,108162,SS,R,10,4
199609103,1996 Macedonian Open,1996-09-02,ON,106342,106693,SS,R,42,6
199609104,1996 Macedonian U1800,1996-09-02,ON,106342,106693,SS,R,46,6
199609105,1996 Macedonian U2000,1996-09-02,ON,106342,106693,SS,R,52,6
199609106,1996 Macedonian U2200,1996-09-02,ON,106342,106693,SS,R,35,6
199609107,Galleria CS RR,1996-09-02,ON,0,108844,RR,R,5,1
199609108,Victoria Labor Day,1996-09-02,BC,0,100205,SS,R,21,6
199609109,Winnipeg Labour Day,1996-09-02,MB,0,106687,SS,R,37,6
199609110,Carter vs Matheson,1996-09-03,NB,0,0,SS,R,2,4
199609111,Maillet Murphy Match,1996-09-03,NB,112745,102176,RR,R,2,2
199609112,Tufts Brennan Match,1996-09-03,NS,106633,101735,RR,R,2,1
199609113,Red Deer September Weekend,1996-09-05,AB,0,101750,RR,R,6,2
199609114,Almost U1800 June,1996-06-01,AB,0,104462,SS,Q,10,5
199609115,Spring into Summer U1500,1996-06-29,ON,0,102198,SS,Q,10,5
199609116,Spring into Summer,1996-06-29,ON,0,102198,SS,Q,8,5
199609117,Calgary JJ Active,1996-07-02,AB,0,101495,SS,Q,18,6
199609118,Daniluk vs Milne,1996-07-02,AB,0,101495,RR,Q,2,2
199609119,Almost U1800 July,1996-07-06,AB,0,104462,SS,Q,16,5
199609120,Sudbury Active 1,1996-07-06,ON,0,102232,SS,Q,16,6
199609121,Heart of Harbour O,1996-07-13,ON,0,102198,SS,Q,13,5
199609122,Heart of Harbour U1500,1996-07-13,ON,0,102198,SS,Q,11,5
199609123,Winnipeg Summer Act,1996-07-13,MB,0,106687,SS,Q,8,5
199609124,Chess in the Park Act,1996-07-20,ON,0,107582,SS,Q,30,5
199609125,Niagara Act,1996-07-21,ON,0,106062,SS,Q,10,4
199609126,London Active,1996-08-01,ON,0,100355,SS,Q,38,6
199609127,TBay Mall Merchants,1996-08-03,ON,0,102198,SS,Q,11,5
199609128,U of S Active,1996-08-03,SK,0,111065,SS,Q,6,5
199609129,Words Books Aug Active,1996-08-03,AB,0,110258,SS,Q,10,5
199609130,Calgary CC Early Aug Act,1996-08-13,AB,0,101495,SS,Q,12,6
199609131,Harveys Restaurant,1996-08-24,ON,0,102198,SS,Q,7,5
199610001,Staunton Memorial,1996-08-29,ON,109477,106502,RR,R,13,1
199610002,Mirimichi Summer Open,1996-09-07,NB,0,100253,SS,R,17,4
199610003,Carr vs Belliveau,1996-09-09,NB,0,0,SS,R,2,4
199610004,Killarney Jr Open A,1996-09-14,BC,106295,106295,SS,R,12,5
199610005,Killarney Jr Open B,1996-09-14,BC,106295,106295,SS,R,20,5
199610006,Killarney Jr Open C,1996-09-14,BC,106295,106295,SS,R,19,5
199610007,Grand Prix 5,1996-09-15,BC,0,109876,SS,R,8,4
199610008,Ottawa Open,1996-09-15,ON,101613,100207,SS,R,24,5
199610009,Ottawa Open U1550,1996-09-15,ON,101613,100207,SS,R,17,5
199610010,Ottawa Open U1850,1996-09-15,ON,101613,100207,SS,R,30,5
199610011,Ottawa Open U2150,1996-09-15,ON,101613,100207,SS,R,25,5
199610012,Friendship Chess League,1996-09-18,ON,0,101349,SS,R,12,1
199610013,Murphy vs Veniot,1996-09-20,NB,0,0,SS,R,2,2
199610014,Kamloops Grand Prix 1,1996-09-21,BC,105611,105611,SS,R,16,4
199610015,Alberta Over 1800,1996-09-22,AB,107545,107545,SS,R,12,5
199610016,Alberta Under 1800,1996-09-22,AB,107545,107545,SS,R,8,5
199610017,NB Junior,1996-09-22,NB,107764,107763,SS,R,8,4
199610018,Red Deer Miller,1996-09-23,AB,101750,101750,RR,R,6,1
199610019,Red Deer Gall,1996-09-26,AB,0,101750,RR,R,6,4
199610020,Red Deer Equinox,1996-09-29,AB,0,101750,RR,R,4,2
199610021,Calgary Summer Active,1996-07-30,AB,0,102638,SS,Q,8,6
199610022,Calgary CC Late August,1996-08-27,AB,0,101495,SS,Q,16,6
199610023,Fistful of Pawns Sec 1,1996-08-30,ON,0,108689,RR,Q,5,2
199610024,Fistful of Pawns Sec 2,1996-08-30,ON,0,108689,RR,Q,4,1
199610025,Fistful of Pawns Sec 3,1996-08-30,ON,0,108689,RR,Q,5,2
199610026,Calgary Sept Almost U1800,1996-09-07,AB,104462,104462,SS,Q,23,5
199610027,Vancouver Grand Prix 4,1996-09-07,BC,0,109876,SS,Q,8,5
199610028,Tuesday Quicky One,1996-09-10,ON,0,109445,SS,Q,12,4
199610029,Tuesday Quicky Two,1996-09-17,ON,0,109445,SS,Q,12,4
199610030,Saint John Fall Active,1996-09-23,NB,0,0,SS,Q,13,6
199610031,Tuesday Quicky 3,1996-09-24,ON,0,109445,SS,Q,12,4
199610032,Weston Active 1,1996-09-26,ON,0,103305,SS,Q,17,6
199610033,West Hill CC Chp 2,1996-08-25,ON,100962,105764,RR,R,7,2
199610034,City and District Chp Open,1996-09-02,ON,102198,102198,SS,R,11,6
199610035,West Hill CC Chp,1996-09-03,ON,100962,101728,RR,R,10,1
199610036,AWHPAWO Knockout,1996-09-05,ON,100979,105764,SS,R,9,12
199610037,Toolsie vs Henao,1996-09-12,ON,0,110732,SS,R,2,4
199610038,Medicine Hat Open,1996-09-15,AB,100909,100070,SS,R,11,5
199610039,Burlington vs London B FCL,1996-09-18,ON,0,105982,SS,R,12,1
199610040,AWHPAWO Invitational,1996-09-19,ON,100979,103841,RR,R,6,1
199610041,Brantford vs Georgetown FCL,1996-09-19,ON,0,0,SS,R,12,1
199610042,Class of September A,1996-09-22,SK,0,103999,RR,R,5,1
199610043,Class of September B,1996-09-22,SK,0,103999,RR,R,6,1
199610044,Class of September C,1996-09-22,SK,0,103999,RR,R,5,1
199610045,Class of September D,1996-09-22,SK,0,103999,RR,R,6,1
199610046,Hamilton Memorial Open,1996-09-22,ON,0,100991,SS,R,27,5
199610047,Hamilton Memorial U1800,1996-09-22,ON,0,100991,SS,R,18,5
199610048,AWHPAWO Closed Chp,1996-09-24,ON,100979,103841,SS,R,13,5
199610049,KW Summer Class 1,1996-09-24,ON,0,110803,RR,R,6,1
199610050,KW Summer Class 2,1996-09-24,ON,0,110803,RR,R,6,1
199610051,KW Summer Class 3,1996-09-24,ON,0,110803,RR,R,4,2
199610052,KW Summer Class 4,1996-09-24,ON,0,110803,RR,R,5,2
199610053,KW Summer Class 5,1996-09-24,ON,0,110803,RR,R,5,2
199610054,KW Summer Class 6,1996-09-24,ON,0,110803,RR,R,4,2
199610055,Belliveau JP vs Belliveau R,1996-09-25,NB,0,0,SS,R,2,6
199610056,Concordia Garden Variety,1996-09-26,ON,0,110732,RR,R,4,2
199610057,ECC Sept Open,1996-09-26,AB,100907,108124,SS,R,20,4
199610058,Rabethge vs Wagner,1996-09-26,ON,0,110732,SS,R,2,4
199610059,Carr vs Belliveau,1996-09-28,NS,0,0,SS,R,2,4
199610060,Miramichi Fall Open,1996-09-28,NB,0,0,SS,R,14,4
199610061,Southern Alberta Junior,1996-09-28,AB,0,0,RR,R,5,1
199610062,Valhalla Swiss,1996-09-28,ON,100063,100063,SS,R,16,4
199610063,Northern Alberta Junior,1996-09-29,AB,0,104728,SS,R,13,5
199610064,Vancouver Grand Prix 7,1996-09-29,BC,0,109876,SS,R,6,4
199610065,Eldridge vs Scallion,1996-09-30,NS,0,0,SS,R,2,6
199610066,WCC Sept Tmt A,1996-09-30,MB,100903,106493,RR,R,5,1
199610067,WCC Sept Tmt B,1996-09-30,MB,100903,106493,RR,R,4,1
199610068,Assaff vs Duivenvoorden,1996-10-01,NB,0,0,SS,R,2,4
199610069,London vs Georgetown,1996-10-01,ON,0,106109,SS,R,12,1
199610070,Prince Rupert Chp,1996-10-01,BC,0,0,RR,R,6,1
199610071,UBC Tuesday Night September,1996-10-01,BC,0,100934,SS,R,30,5
199610072,GMCC Oct 2,1996-10-02,NB,0,0,SS,R,22,4
199610073,CRCC Saturday 1,1996-10-05,NB,0,109003,SS,R,7,4
199610074,Manitoba Jr,1996-10-06,MB,100925,106687,SS,R,10,4
199610075,RA Fast Traffic I,1996-10-06,ON,0,101613,SS,R,14,4
199610076,North Bay Fall,1996-10-09,ON,0,102237,SS,R,11,5
199610077,FCCA September Open,1996-10-10,ON,100355,100338,SS,R,34,6
199610078,Dieppe Tornado 1,1996-10-12,NB,0,100253,SS,R,12,4
199610079,Kamloops Grand Prix 2,1996-10-12,BC,0,105611,SS,R,14,4
199610080,Alberta Open,1996-10-14,AB,0,100276,SS,R,41,6
199610081,Demmery vs Flitton,1996-10-14,ON,0,0,RR,R,2,4
199610082,Northern BC Open,1996-10-14,BC,107504,101409,RR,R,6,1
199610083,Northwestern Ontario Open,1996-10-14,ON,0,102198,SS,R,21,6
199610084,Prairie Open,1996-10-14,SK,0,104172,SS,R,43,6
199610085,Thanksgiving Master Booster,1996-10-14,BC,0,103284,SS,R,16,6
199610086,Thanksgiving Masters Reserve,1996-10-14,BC,0,103284,SS,R,20,6
199610087,Thanksgiving Open,1996-10-14,BC,0,103284,SS,R,29,7
199610088,TO Thanksgiving Open,1996-10-14,ON,100902,106693,SS,R,50,6
199610089,TO Thanksgiving U1600,1996-10-14,ON,100902,106693,SS,R,22,6
199610090,TO Thanksgiving U1800,1996-10-14,ON,100902,106693,SS,R,21,6
199610091,TO Thanksgiving U2000,1996-10-14,ON,100902,106693,SS,R,35,6
199610092,For Four Eyes Only,1996-10-19,ON,0,101613,RR,R,4,1
199610093,New Brunswick Cadet,1996-10-19,NB,0,107764,SS,R,9,4
199610094,Southern Alberta Cadet,1996-10-19,AB,0,100353,RR,R,4,1
199610095,Smith vs Robinson,1996-10-21,ON,0,0,RR,R,2,10
199610096,RA OKeefe,1996-10-24,ON,0,100092,SS,R,56,7
199610097,Cornwall Open A,1996-10-27,ON,0,101034,SS,R,20,5
199610098,Cornwall Open B,1996-10-27,ON,0,101034,SS,R,18,5
199610099,Cornwall Open C,1996-10-27,ON,0,101034,SS,R,20,5
199610100,Belliveau JP vs Belliveau R,1996-09-10,NB,0,0,SS,Q,2,6
199610101,EJCC Back to School A,1996-09-14,AB,110778,0,SS,Q,14,5
199610102,Shoppers Drug Mart Challenge,1996-09-21,ON,102198,102198,SS,Q,14,5
199610103,Vancouver Grand Prix 6,1996-09-21,BC,0,109876,RR,Q,5,1
199610104,Corel Thunder Bay Festival,1996-09-28,ON,102198,102198,SS,Q,8,5
199610105,Grande Prairie Fall Active,1996-09-28,AB,103595,103595,SS,Q,12,4
199610106,Tosh Warmup,1996-09-28,PE,0,106527,RR,Q,5,1
199610107,KW Fall Active Open,1996-10-01,ON,0,0,SS,Q,16,5
199610108,KW Fall Active U1600,1996-10-01,ON,0,0,SS,Q,10,5
199610109,Tuesday Quicky 4,1996-10-01,ON,0,109445,SS,Q,8,4
199610110,Mike Harris Massacre,1996-10-03,ON,0,104137,SS,Q,8,4
199610111,26 Days Before Halloween,1996-10-05,AB,0,110778,SS,Q,11,5
199610112,Calgary Under 1800,1996-10-05,AB,0,109973,SS,Q,14,5
199610113,Vancouver Grand Prix 8,1996-10-05,BC,0,109876,RR,Q,6,1
199610114,Tuesday Quicky 5,1996-10-08,ON,0,109445,SS,Q,10,4
199610115,Tuesday Quickly 6,1996-10-15,ON,0,109445,SS,Q,12,4
199610116,Coca Cola Chess Classic,1996-10-19,ON,0,102198,SS,Q,13,5
199610117,Tuesday Quickly 7,1996-10-22,ON,0,109445,SS,Q,6,4
199610118,Nova Scotia Cadet Championship,1996-10-27,NS,0,101735,SS,Q,7,4
199611001,Saint John Tornado,1996-10-05,NB,100145,100145,SS,R,4,3
199611002,West Van Oct Tuesday Night,1996-10-08,BC,0,100195,SS,R,9,5
199611003,London B Brantford FCL,1996-10-09,ON,0,0,SS,R,8,1
199611004,Oct SWOCL,1996-10-09,ON,0,0,SS,R,18,5
199611005,Woodman vs Haggarty,1996-10-09,NB,107763,107763,SS,R,2,1
199611006,Burlington London A FCL,1996-10-16,ON,105982,105982,SS,R,12,1
199611007,Manitoba Cadet Chp,1996-10-20,MB,112446,112446,SS,R,11,4
199611008,Northern Alberta Cadet,1996-10-20,AB,104728,104728,SS,R,8,5
199611009,Ontario Jr,1996-10-20,ON,100319,100319,RR,R,6,1
199611010,Calgary CC Fall Open U1750,1996-10-22,AB,104462,104462,SS,R,19,7
199611011,Calgary CC Fall Open,1996-10-22,AB,104462,104462,SS,R,16,7
199611012,Burlington CC Fall,1996-10-23,ON,108689,105982,RR,R,8,1
199611013,Georgetown London FCL,1996-10-23,ON,112038,112038,SS,R,10,1
199611014,Carr vs Belliveau,1996-10-24,NB,0,0,RR,R,2,4
199611015,Oshawa Fall,1996-10-24,ON,0,109393,SS,R,9,5
199611016,Scarb CC Thurs Fall Open,1996-10-24,ON,0,100317,SS,R,49,7
199611017,Scarb CC Thurs Fall U1700,1996-10-24,ON,0,100317,SS,R,26,7
199611018,Dieppe Tornado 2,1996-10-26,NB,107763,107763,SS,R,11,4
199611019,Alberta Junior,1996-10-27,AB,101750,101750,RR,R,6,1
199611020,BC Junior Chp,1996-10-27,BC,106295,106295,SS,R,18,5
199611021,Blanchette vs Goguen,1996-10-27,NB,0,0,RR,R,2,8
199611022,Dave Clarkson Memorial,1996-10-27,NB,100145,111760,SS,R,4,3
199611023,Dog Days of Sept,1996-10-27,ON,103373,103373,RR,R,3,2
199611024,Grand Prix 10,1996-10-27,BC,0,104911,SS,R,9,4
199611025,McDonald vs Taylor,1996-10-27,NB,0,0,RR,R,2,6
199611026,Peace River Traditional,1996-10-27,AB,100221,106877,SS,R,13,4
199611027,Sudbury Chess Chp,1996-10-27,ON,102232,102232,SS,R,12,5
199611028,Percival vs Bessette,1996-10-28,ON,0,0,RR,R,2,7
199611029,Fournier vs Gant,1996-10-30,NB,0,0,SS,R,2,2
199611030,Galleria Chess Shop Fall,1996-10-30,ON,108844,108844,RR,R,7,2
199611031,Battle of Alberta,1996-10-31,AB,101750,101750,SS,R,24,2
199611032,Cathcart Open,1996-10-31,ON,103305,102882,SS,R,23,5
199611033,Claremont Active,1996-11-02,BC,0,0,SS,R,16,5
199611034,Maritime Cadet Chp,1996-11-02,PE,106527,106527,SS,R,6,5
199611035,Miramichi November Open,1996-11-02,NB,100253,104793,SS,R,10,4
199611036,Grand Prix 11,1996-11-03,BC,0,109876,SS,R,7,4
199611037,Iron Man IV,1996-11-03,ON,110641,110641,RR,R,6,1
199611038,Junior Chess Festival Under 10,1996-11-03,BC,106295,106295,SS,R,22,5
199611039,Junior Chess Festival Under 12,1996-11-03,BC,106295,106295,SS,R,12,5
199611040,Junior Chess Festival Under 14,1996-11-03,BC,106295,106295,SS,R,13,5
199611041,Junior Chess Festival Under 18,1996-11-03,BC,106295,106295,SS,R,3,6
199611042,Kitchener Burlington FCL,1996-11-03,ON,101349,101349,SS,R,12,1
199611043,London A London B FCL,1996-11-03,ON,0,104137,SS,R,12,1
